Challenges,Module,Count,Percent
Bio,Total,20,10.64%
Coding,Total,107,56.91%
PD,Total,22,11.70%
Other,Total,1,0.53%
No challenges,Total,8,4.26%
Personal,Total,24,12.77%
Cognitive load,Total,6,3.19%
Bio,M1,5,16.67%
Coding,M1,16,53.33%
PD,M1,2,6.67%
Other,M1,1,3.33%
No challenges,M1,1,3.33%
Personal,M1,2,6.67%
Cognitive load,M1,3,10.00%
Bio,M2,3,11.54%
Coding,M2,19,73.08%
PD,M2,0,0.00%
Other,M2,0,0.00%
No challenges,M2,1,3.85%
Personal,M2,2,7.69%
Cognitive load,M2,1,3.85%
Bio,M3,1,3.70%
Coding,M3,19,70.37%
PD,M3,1,3.70%
Other,M3,0,0.00%
No challenges,M3,1,3.70%
Personal,M3,4,14.81%
Cognitive load,M3,1,3.70%
Bio,M4,3,11.54%
Coding,M4,19,73.08%
PD,M4,0,0.00%
Other,M4,0,0.00%
No challenges,M4,1,3.85%
Personal,M4,2,7.69%
Cognitive load,M4,1,3.85%
Bio,M5,4,12.12%
Coding,M5,24,72.73%
PD,M5,3,9.09%
Other,M5,0,0.00%
No challenges,M5,0,0.00%
Personal,M5,2,6.06%
Cognitive load,M5,0,0.00%
Bio,M6,4,14.29%
Coding,M6,7,25.00%
PD,M6,10,35.71%
Other,M6,0,0.00%
No challenges,M6,0,0.00%
Personal,M6,7,25.00%
Cognitive load,M6,0,0.00%
Bio,M7,0,0.00%
Coding,M7,3,16.67%
PD,M7,6,33.33%
Other,M7,0,0.00%
No challenges,M7,4,22.22%
Personal,M7,5,27.78%
Cognitive load,M7,0,0.00%
